fact	label	source
e741 r1 c73	1	train
e741 r0 a13	1	train
e741 r0 a29	1	train
e741 r0 a1	1	train
e741 r0 a8	1	train
e741 r0 a35	1	train
e741 r1 a12	0	train
e741 r1 a6	0	train
e741 r1 a39	0	train
e741 r1 a16	0	train
e741 r1 a30	0	train
e741 r1 a28	0	train
e1939 r1 c73	1	train
e1939 r0 a13	1	train
e1939 r0 a29	1	train
e1939 r0 a1	1	train
e1939 r0 a8	1	train
e1939 r0 a35	1	train
e1939 r1 a37	0	train
e1939 r1 a36	0	train
e1939 r1 a4	0	train
e1939 r1 a15	0	train
e1939 r1 a33	0	train
e1939 r1 a39	0	train
e3120 r1 c73	1	train
e3120 r0 a13	1	train
e3120 r0 a29	1	train
e3120 r0 a1	1	train
e3120 r0 a8	1	train
e3120 r0 a35	1	train
e3120 r1 a20	0	train
e3120 r1 a31	0	train
e3120 r1 a34	0	train
e3120 r1 a37	0	train
e3120 r1 a33	0	train
e3120 r1 a15	0	train
e4377 r1 c73	1	train
e4377 r0 a13	1	train
e4377 r0 a29	1	train
e4377 r0 a1	1	train
e4377 r0 a8	1	train
e4377 r0 a35	1	train
e4377 r1 a33	0	train
e4377 r1 a9	0	train
e4377 r1 a17	0	train
e4377 r1 a20	0	train
e4377 r1 a34	0	train
e4377 r1 a4	0	train
e2169 r1 c73	1	train
e2169 r0 a13	1	train
e2169 r0 a29	1	train
e2169 r0 a1	1	train
e2169 r0 a8	1	train
e2169 r0 a35	1	train
e2169 r1 a34	0	train
e2169 r1 a25	0	train
e2169 r1 a18	0	train
e2169 r1 a4	0	train
e2169 r1 a28	0	train
e2169 r1 a11	0	train
e3260 r1 c73	1	train
e3260 r0 a13	1	train
e3260 r0 a29	1	train
e3260 r0 a1	1	train
e3260 r0 a8	1	train
e3260 r0 a35	1	train
e3260 r1 a26	0	train
e3260 r1 a33	0	train
e3260 r1 a39	0	train
e3260 r1 a3	0	train
e3260 r1 a9	0	train
e3260 r1 a22	0	train
e1287 r1 c73	1	train
e1287 r0 a13	1	train
e1287 r0 a29	1	train
e1287 r0 a1	1	train
e1287 r0 a8	1	train
e1287 r0 a35	1	train
e1287 r1 a11	0	train
e1287 r1 a19	0	train
e1287 r1 a23	0	train
e1287 r1 a6	0	train
e1287 r1 a34	0	train
e1287 r1 a17	0	train
e2673 r1 c73	1	train
e2673 r0 a13	1	train
e2673 r0 a29	1	train
e2673 r0 a1	1	train
e2673 r0 a8	1	train
e2673 r0 a35	1	train
e2673 r1 a21	0	train
e2673 r1 a32	0	train
e2673 r1 a20	0	train
e2673 r1 a4	0	train
e2673 r1 a7	0	train
e2673 r1 a39	0	train
e3914 r1 c73	1	train
e3914 r0 a13	1	train
e3914 r0 a29	1	train
e3914 r0 a1	1	train
e3914 r0 a8	1	train
e3914 r0 a35	1	train
e3914 r1 a38	0	train
e3914 r1 a32	0	train
e3914 r1 a7	0	train
e3914 r1 a25	0	train
e3914 r1 a20	0	train
e3914 r1 a19	0	train
e3851 r1 c73	1	train
e3851 r0 a13	1	train
e3851 r0 a29	1	train
e3851 r0 a1	1	train
e3851 r0 a8	1	train
e3851 r0 a35	1	train
e3851 r1 a20	0	train
e3851 r1 a33	0	train
e3851 r1 a24	0	train
e3851 r1 a9	0	train
e3851 r1 a34	0	train
e3851 r1 a36	0	train
e4790 r1 c73	1	train
e4790 r0 a13	1	train
e4790 r0 a29	1	train
e4790 r0 a1	1	train
e4790 r0 a8	1	train
e4790 r0 a35	1	train
e4790 r1 a31	0	train
e4790 r1 a6	0	train
e4790 r1 a26	0	train
e4790 r1 a36	0	train
e4790 r1 a24	0	train
e4790 r1 a22	0	train
e4070 r1 c73	1	train
e4070 r0 a13	1	train
e4070 r0 a29	1	train
e4070 r0 a1	1	train
e4070 r0 a8	1	train
e4070 r0 a35	1	train
e4070 r1 a12	0	train
e4070 r1 a18	0	train
e4070 r1 a25	0	train
e4070 r1 a17	0	train
e4070 r1 a7	0	train
e4070 r1 a24	0	train
e2306 r1 c73	1	train
e2306 r0 a13	1	train
e2306 r0 a29	1	train
e2306 r0 a1	1	train
e2306 r0 a8	1	train
e2306 r0 a35	1	train
e2306 r1 a33	0	train
e2306 r1 a11	0	train
e2306 r1 a3	0	train
e2306 r1 a4	0	train
e2306 r1 a22	0	train
e2306 r1 a7	0	train
e1128 r1 c73	1	train
e1128 r0 a13	1	train
e1128 r0 a29	1	train
e1128 r0 a1	1	train
e1128 r0 a8	1	train
e1128 r0 a35	1	train
e1128 r1 a9	0	train
e1128 r1 a24	0	train
e1128 r1 a15	0	train
e1128 r1 a19	0	train
e1128 r1 a0	0	train
e1128 r1 a2	0	train
e2346 r1 c73	1	train
e2346 r0 a13	1	train
e2346 r0 a29	1	train
e2346 r0 a1	1	train
e2346 r0 a8	1	train
e2346 r0 a35	1	train
e2346 r1 a19	0	train
e2346 r1 a24	0	train
e2346 r1 a36	0	train
e2346 r1 a15	0	train
e2346 r1 a25	0	train
e2346 r1 a27	0	train
e3739 r1 c73	1	train
e3739 r0 a13	1	train
e3739 r0 a29	1	train
e3739 r0 a1	1	train
e3739 r0 a8	1	train
e3739 r0 a35	1	train
e3739 r1 a14	0	train
e3739 r1 a10	0	train
e3739 r1 a20	0	train
e3739 r1 a24	0	train
e3739 r1 a0	0	train
e3739 r1 a5	0	train
e4410 r1 c73	1	train
e4410 r0 a13	1	train
e4410 r0 a29	1	train
e4410 r0 a1	1	train
e4410 r0 a8	1	train
e4410 r0 a35	1	train
e4410 r1 a31	0	train
e4410 r1 a30	0	train
e4410 r1 a16	0	train
e4410 r1 a12	0	train
e4410 r1 a18	0	train
e4410 r1 a9	0	train
e1457 r1 c73	1	train
e1457 r0 a13	1	train
e1457 r0 a29	1	train
e1457 r0 a1	1	train
e1457 r0 a8	1	train
e1457 r0 a35	1	train
e1457 r1 a32	0	train
e1457 r1 a11	0	train
e1457 r1 a34	0	train
e1457 r1 a12	0	train
e1457 r1 a15	0	train
e1457 r1 a25	0	train
e1410 r1 c73	1	train
e1410 r0 a13	1	train
e1410 r0 a29	1	train
e1410 r0 a1	1	train
e1410 r0 a8	1	train
e1410 r0 a35	1	train
e1410 r1 a11	0	train
e1410 r1 a24	0	train
e1410 r1 a4	0	train
e1410 r1 a33	0	train
e1410 r1 a20	0	train
e1410 r1 a15	0	train
e1226 r1 c73	1	train
e1226 r0 a13	1	train
e1226 r0 a29	1	train
e1226 r0 a1	1	train
e1226 r0 a8	1	train
e1226 r0 a35	1	train
e1226 r1 a30	0	train
e1226 r1 a26	0	train
e1226 r1 a7	0	train
e1226 r1 a10	0	train
e1226 r1 a27	0	train
e1226 r1 a37	0	train
e4133 r1 c73	1	train
e4133 r0 a13	1	train
