fact	label	source
e3408 r1 c46	1	train
e3408 r0 a30	1	train
e3408 r0 a33	1	train
e3408 r0 a1	1	train
e3408 r0 a37	1	train
e3408 r0 a35	1	train
e3408 r1 a3	0	train
e3408 r1 a20	0	train
e3408 r1 a36	0	train
e3408 r1 a9	0	train
e3408 r1 a23	0	train
e3408 r1 a19	0	train
e4826 r1 c46	1	train
e4826 r0 a30	1	train
e4826 r0 a33	1	train
e4826 r0 a1	1	train
e4826 r0 a37	1	train
e4826 r0 a35	1	train
e4826 r1 a31	0	train
e4826 r1 a6	0	train
e4826 r1 a7	0	train
e4826 r1 a10	0	train
e4826 r1 a2	0	train
e4826 r1 a3	0	train
e2842 r1 c46	1	train
e2842 r0 a30	1	train
e2842 r0 a33	1	train
e2842 r0 a1	1	train
e2842 r0 a37	1	train
e2842 r0 a35	1	train
e2842 r1 a3	0	train
e2842 r1 a5	0	train
e2842 r1 a11	0	train
e2842 r1 a4	0	train
e2842 r1 a7	0	train
e2842 r1 a8	0	train
e4144 r1 c46	1	train
e4144 r0 a30	1	train
e4144 r0 a33	1	train
e4144 r0 a1	1	train
e4144 r0 a37	1	train
e4144 r0 a35	1	train
e4144 r1 a14	0	train
e4144 r1 a15	0	train
e4144 r1 a18	0	train
e4144 r1 a9	0	train
e4144 r1 a7	0	train
e4144 r1 a20	0	train
e3913 r1 c46	1	train
e3913 r0 a30	1	train
e3913 r0 a33	1	train
e3913 r0 a1	1	train
e3913 r0 a37	1	train
e3913 r0 a35	1	train
e3913 r1 a9	0	train
e3913 r1 a15	0	train
e3913 r1 a11	0	train
e3913 r1 a16	0	train
e3913 r1 a20	0	train
e3913 r1 a2	0	train
e377 r1 c46	1	train
e377 r0 a30	1	train
e377 r0 a33	1	train
e377 r0 a1	1	train
e377 r0 a37	1	train
e377 r0 a35	1	train
e377 r1 a23	0	train
e377 r1 a8	0	train
e377 r1 a22	0	train
e377 r1 a18	0	train
e377 r1 a2	0	train
e377 r1 a3	0	train
e2300 r1 c46	1	train
e2300 r0 a30	1	train
e2300 r0 a33	1	train
e2300 r0 a1	1	train
e2300 r0 a37	1	train
e2300 r0 a35	1	train
e2300 r1 a9	0	train
e2300 r1 a24	0	train
e2300 r1 a14	0	train
e2300 r1 a6	0	train
e2300 r1 a8	0	train
e2300 r1 a0	0	train
e1103 r1 c46	1	train
e1103 r0 a30	1	train
e1103 r0 a33	1	train
e1103 r0 a1	1	train
e1103 r0 a37	1	train
e1103 r0 a35	1	train
e1103 r1 a27	0	train
e1103 r1 a14	0	train
e1103 r1 a8	0	train
e1103 r1 a24	0	train
e1103 r1 a32	0	train
e1103 r1 a4	0	train
e1096 r1 c46	1	train
e1096 r0 a30	1	train
e1096 r0 a33	1	train
e1096 r0 a1	1	train
e1096 r0 a37	1	train
e1096 r0 a35	1	train
e1096 r1 a21	0	train
e1096 r1 a12	0	train
e1096 r1 a39	0	train
e1096 r1 a4	0	train
e1096 r1 a29	0	train
e1096 r1 a15	0	train
e4570 r1 c46	1	train
e4570 r0 a30	1	train
e4570 r0 a33	1	train
e4570 r0 a1	1	train
e4570 r0 a37	1	train
e4570 r0 a35	1	train
e4570 r1 a38	0	train
e4570 r1 a11	0	train
e4570 r1 a28	0	train
e4570 r1 a26	0	train
e4570 r1 a5	0	train
e4570 r1 a34	0	train
e1911 r1 c46	1	train
e1911 r0 a30	1	train
e1911 r0 a33	1	train
e1911 r0 a1	1	train
e1911 r0 a37	1	train
e1911 r0 a35	1	train
e1911 r1 a19	0	train
e1911 r1 a39	0	train
e1911 r1 a2	0	train
e1911 r1 a23	0	train
e1911 r1 a34	0	train
e1911 r1 a15	0	train
e2645 r1 c46	1	train
e2645 r0 a30	1	train
e2645 r0 a33	1	train
e2645 r0 a1	1	train
e2645 r0 a37	1	train
e2645 r0 a35	1	train
e2645 r1 a7	0	train
e2645 r1 a11	0	train
e2645 r1 a8	0	train
e2645 r1 a2	0	train
e2645 r1 a28	0	train
e2645 r1 a10	0	train
e2881 r1 c46	1	train
e2881 r0 a30	1	train
e2881 r0 a33	1	train
e2881 r0 a1	1	train
e2881 r0 a37	1	train
e2881 r0 a35	1	train
e2881 r1 a18	0	train
e2881 r1 a9	0	train
e2881 r1 a12	0	train
e2881 r1 a21	0	train
e2881 r1 a29	0	train
e2881 r1 a6	0	train
e3049 r1 c46	1	train
e3049 r0 a30	1	train
e3049 r0 a33	1	train
e3049 r0 a1	1	train
e3049 r0 a37	1	train
e3049 r0 a35	1	train
e3049 r1 a21	0	train
e3049 r1 a9	0	train
e3049 r1 a3	0	train
e3049 r1 a2	0	train
e3049 r1 a14	0	train
e3049 r1 a27	0	train
e4671 r1 c46	1	train
e4671 r0 a30	1	train
e4671 r0 a33	1	train
e4671 r0 a1	1	train
e4671 r0 a37	1	train
e4671 r0 a35	1	train
e4671 r1 a11	0	train
e4671 r1 a21	0	train
e4671 r1 a24	0	train
e4671 r1 a13	0	train
e4671 r1 a12	0	train
e4671 r1 a20	0	train
e2302 r1 c46	1	train
e2302 r0 a30	1	train
e2302 r0 a33	1	train
e2302 r0 a1	1	train
e2302 r0 a37	1	train
e2302 r0 a35	1	train
e2302 r1 a34	0	train
e2302 r1 a38	0	train
e2302 r1 a23	0	train
e2302 r1 a31	0	train
e2302 r1 a29	0	train
e2302 r1 a18	0	train
e1732 r1 c46	1	train
e1732 r0 a30	1	train
e1732 r0 a33	1	train
e1732 r0 a1	1	train
e1732 r0 a37	1	train
e1732 r0 a35	1	train
e1732 r1 a2	0	train
e1732 r1 a14	0	train
e1732 r1 a12	0	train
e1732 r1 a34	0	train
e1732 r1 a32	0	train
e1732 r1 a39	0	train
e3554 r1 c46	1	train
e3554 r0 a30	1	train
e3554 r0 a33	1	train
e3554 r0 a1	1	train
e3554 r0 a37	1	train
e3554 r0 a35	1	train
e3554 r1 a21	0	train
e3554 r1 a19	0	train
e3554 r1 a14	0	train
e3554 r1 a20	0	train
e3554 r1 a10	0	train
e3554 r1 a17	0	train
e889 r1 c46	1	train
e889 r0 a30	1	train
e889 r0 a33	1	train
e889 r0 a1	1	train
e889 r0 a37	1	train
e889 r0 a35	1	train
e889 r1 a26	0	train
e889 r1 a0	0	train
e889 r1 a5	0	train
e889 r1 a16	0	train
e889 r1 a19	0	train
e889 r1 a23	0	train
e171 r1 c46	1	train
e171 r0 a30	1	train
e171 r0 a33	1	train
e171 r0 a1	1	train
e171 r0 a37	1	train
e171 r0 a35	1	train
e171 r1 a2	0	train
e171 r1 a29	0	train
e171 r1 a34	0	train
e171 r1 a10	0	train
e171 r1 a28	0	train
e171 r1 a32	0	train
e2996 r1 c46	1	train
e2996 r0 a30	1	train
e2996 r0 a33	1	train
e2996 r0 a1	1	train
e2996 r0 a37	1	train
e2996 r0 a35	1	train
e2996 r1 a29	0	train
e2996 r1 a14	0	train
e2996 r1 a4	0	train
e2996 r1 a3	0	train
e2996 r1 a39	0	train
e2996 r1 a5	0	train
e2987 r1 c46	1	train
e2987 r0 a30	1	train
e2987 r0 a33	1	train
e2987 r0 a1	1	train
e2987 r0 a37	1	train
e2987 r0 a35	1	train
e2987 r1 a36	0	train
e2987 r1 a22	0	train
e2987 r1 a4	0	train
e2987 r1 a9	0	train
e2987 r1 a38	0	train
e2987 r1 a13	0	train
e4162 r1 c46	1	train
e4162 r0 a30	1	train
e4162 r0 a33	1	train
e4162 r0 a1	1	train
e4162 r0 a37	1	train
e4162 r0 a35	1	train
e4162 r1 a25	0	train
e4162 r1 a2	0	train
e4162 r1 a21	0	train
e4162 r1 a38	0	train
e4162 r1 a19	0	train
e4162 r1 a9	0	train
e1261 r1 c46	1	train
e1261 r0 a30	1	train
e1261 r0 a33	1	train
e1261 r0 a1	1	train
e1261 r0 a37	1	train
e1261 r0 a35	1	train
e1261 r1 a8	0	train
e1261 r1 a27	0	train
e1261 r1 a39	0	train
e1261 r1 a32	0	train
e1261 r1 a15	0	train
e1261 r1 a28	0	train
e2642 r1 c46	1	train
e2642 r0 a30	1	train
e2642 r0 a33	1	train
e2642 r0 a1	1	train
e2642 r0 a37	1	train
e2642 r0 a35	1	train
e2642 r1 a27	0	train
e2642 r1 a23	0	train
e2642 r1 a7	0	train
e2642 r1 a12	0	train
e2642 r1 a2	0	train
e2642 r1 a0	0	train
e233 r1 c46	1	train
e233 r0 a30	1	train
e233 r0 a33	1	train
e233 r0 a1	1	train
e233 r0 a37	1	train
e233 r0 a35	1	train
e233 r1 a14	0	train
e233 r1 a39	0	train
e233 r1 a21	0	train
e233 r1 a5	0	train
e233 r1 a9	0	train
e233 r1 a22	0	train
e4522 r1 c46	1	train
e4522 r0 a30	1	train
e4522 r0 a33	1	train
e4522 r0 a1	1	train
e4522 r0 a37	1	train
e4522 r0 a35	1	train
e4522 r1 a10	0	train
e4522 r1 a13	0	train
e4522 r1 a34	0	train
e4522 r1 a22	0	train
e4522 r1 a20	0	train
e4522 r1 a21	0	train
e1408 r1 c46	1	train
e1408 r0 a30	1	train
e1408 r0 a33	1	train
e1408 r0 a1	1	train
e1408 r0 a37	1	train
e1408 r0 a35	1	train
e1408 r1 a9	0	train
e1408 r1 a17	0	train
e1408 r1 a7	0	train
e1408 r1 a19	0	train
e1408 r1 a16	0	train
e1408 r1 a21	0	train
e1718 r1 c46	1	train
e1718 r0 a30	1	train
e1718 r0 a33	1	train
e1718 r0 a1	1	train
e1718 r0 a37	1	train
e1718 r0 a35	1	train
e1718 r1 a34	0	train
e1718 r1 a0	0	train
e1718 r1 a23	0	train
e1718 r1 a9	0	train
e1718 r1 a24	0	train
e1718 r1 a32	0	train
e1220 r1 c46	1	train
e1220 r0 a30	1	train
e1220 r0 a33	1	train
e1220 r0 a1	1	train
e1220 r0 a37	1	train
e1220 r0 a35	1	train
e1220 r1 a28	0	train
e1220 r1 a4	0	train
e1220 r1 a23	0	train
e1220 r1 a38	0	train
e1220 r1 a21	0	train
e1220 r1 a17	0	train
e3883 r1 c46	1	train
e3883 r0 a30	1	train
e3883 r0 a33	1	train
e3883 r0 a1	1	train
e3883 r0 a37	1	train
e3883 r0 a35	1	train
e3883 r1 a16	0	train
e3883 r1 a23	0	train
e3883 r1 a7	0	train
e3883 r1 a38	0	train
e3883 r1 a17	0	train
e3883 r1 a22	0	train
e4571 r1 c46	1	train
e4571 r0 a30	1	train
e4571 r0 a33	1	train
e4571 r0 a1	1	train
e4571 r0 a37	1	train
e4571 r0 a35	1	train
e4571 r1 a4	0	train
e4571 r1 a10	0	train
e4571 r1 a5	0	train
e4571 r1 a18	0	train
e4571 r1 a25	0	train
e4571 r1 a31	0	train
e4172 r1 c46	1	train
e4172 r0 a30	1	train
e4172 r0 a33	1	train
e4172 r0 a1	1	train
e4172 r0 a37	1	train
e4172 r0 a35	1	train
e4172 r1 a26	0	train
e4172 r1 a29	0	train
e4172 r1 a22	0	train
e4172 r1 a25	0	train
e4172 r1 a9	0	train
e4172 r1 a28	0	train
e387 r1 c46	1	train
e387 r0 a30	1	train
e387 r0 a33	1	train
e387 r0 a1	1	train
e387 r0 a37	1	train
e387 r0 a35	1	train
e387 r1 a5	0	train
e387 r1 a16	0	train
e387 r1 a20	0	train
e387 r1 a2	0	train
e387 r1 a36	0	train
e387 r1 a15	0	train
e4076 r1 c46	1	train
e4076 r0 a30	1	train
e4076 r0 a33	1	train
e4076 r0 a1	1	train
e4076 r0 a37	1	train
e4076 r0 a35	1	train
e4076 r1 a2	0	train
e4076 r1 a31	0	train
e4076 r1 a19	0	train
e4076 r1 a8	0	train
e4076 r1 a20	0	train
e4076 r1 a34	0	train
e3346 r1 c46	1	train
e3346 r0 a30	1	train
e3346 r0 a33	1	train
e3346 r0 a1	1	train
e3346 r0 a37	1	train
e3346 r0 a35	1	train
e3346 r1 a14	0	train
e3346 r1 a12	0	train
e3346 r1 a32	0	train
e3346 r1 a24	0	train
e3346 r1 a39	0	train
e3346 r1 a15	0	train
e1345 r1 c46	1	train
e1345 r0 a30	1	train
e1345 r0 a33	1	train
e1345 r0 a1	1	train
e1345 r0 a37	1	train
e1345 r0 a35	1	train
e1345 r1 a21	0	train
e1345 r1 a2	0	train
e1345 r1 a13	0	train
e1345 r1 a24	0	train
e1345 r1 a34	0	train
e1345 r1 a18	0	train
e2001 r1 c46	1	train
e2001 r0 a30	1	train
e2001 r0 a33	1	train
e2001 r0 a1	1	train
e2001 r0 a37	1	train
e2001 r0 a35	1	train
e2001 r1 a8	0	train
e2001 r1 a19	0	train
e2001 r1 a20	0	train
e2001 r1 a27	0	train
e2001 r1 a16	0	train
e2001 r1 a34	0	train
e2076 r1 c46	1	train
e2076 r0 a30	1	train
e2076 r0 a33	1	train
e2076 r0 a1	1	train
e2076 r0 a37	1	train
e2076 r0 a35	1	train
e2076 r1 a12	0	train
e2076 r1 a26	0	train
e2076 r1 a5	0	train
e2076 r1 a25	0	train
e2076 r1 a32	0	train
e2076 r1 a36	0	train
e4513 r1 c46	1	train
e4513 r0 a30	1	train
e4513 r0 a33	1	train
e4513 r0 a1	1	train
e4513 r0 a37	1	train
e4513 r0 a35	1	train
e4513 r1 a29	0	train
e4513 r1 a38	0	train
e4513 r1 a27	0	train
e4513 r1 a22	0	train
e4513 r1 a9	0	train
e4513 r1 a21	0	train
e4173 r1 c46	1	train
e4173 r0 a30	1	train
e4173 r0 a33	1	train
e4173 r0 a1	1	train
e4173 r0 a37	1	train
e4173 r0 a35	1	train
e4173 r1 a24	0	train
e4173 r1 a18	0	train
e4173 r1 a4	0	train
e4173 r1 a34	0	train
e4173 r1 a23	0	train
e4173 r1 a29	0	train
e2092 r1 c46	1	train
e2092 r0 a30	1	train
e2092 r0 a33	1	train
e2092 r0 a1	1	train
e2092 r0 a37	1	train
e2092 r0 a35	1	train
e2092 r1 a10	0	train
e2092 r1 a26	0	train
e2092 r1 a11	0	train
e2092 r1 a36	0	train
e2092 r1 a21	0	train
e2092 r1 a31	0	train
e4351 r1 c46	1	train
e4351 r0 a30	1	train
e4351 r0 a33	1	train
e4351 r0 a1	1	train
e4351 r0 a37	1	train
e4351 r0 a35	1	train
e4351 r1 a2	0	train
e4351 r1 a38	0	train
e4351 r1 a12	0	train
e4351 r1 a24	0	train
e4351 r1 a22	0	train
e4351 r1 a4	0	train
e2353 r1 c46	1	train
e2353 r0 a30	1	train
e2353 r0 a33	1	train
e2353 r0 a1	1	train
e2353 r0 a37	1	train
e2353 r0 a35	1	train
e2353 r1 a22	0	train
e2353 r1 a29	0	train
e2353 r1 a31	0	train
e2353 r1 a18	0	train
e2353 r1 a9	0	train
e2353 r1 a8	0	train
e1304 r1 c46	1	train
e1304 r0 a30	1	train
e1304 r0 a33	1	train
e1304 r0 a1	1	train
e1304 r0 a37	1	train
e1304 r0 a35	1	train
e1304 r1 a10	0	train
e1304 r1 a34	0	train
e1304 r1 a14	0	train
e1304 r1 a5	0	train
e1304 r1 a31	0	train
e1304 r1 a9	0	train
e4423 r1 c46	1	train
e4423 r0 a30	1	train
e4423 r0 a33	1	train
e4423 r0 a1	1	train
e4423 r0 a37	1	train
e4423 r0 a35	1	train
e4423 r1 a7	0	train
e4423 r1 a32	0	train
e4423 r1 a18	0	train
e4423 r1 a36	0	train
e4423 r1 a6	0	train
e4423 r1 a29	0	train
e964 r1 c46	1	train
e964 r0 a30	1	train
e964 r0 a33	1	train
e964 r0 a1	1	train
e964 r0 a37	1	train
e964 r0 a35	1	train
e964 r1 a32	0	train
e964 r1 a27	0	train
e964 r1 a26	0	train
e964 r1 a36	0	train
e964 r1 a21	0	train
e964 r1 a22	0	train
e285 r1 c46	1	train
e285 r0 a30	1	train
e285 r0 a33	1	train
e285 r0 a1	1	train
e285 r0 a37	1	train
e285 r0 a35	1	train
e285 r1 a13	0	train
e285 r1 a11	0	train
e285 r1 a29	0	train
e285 r1 a6	0	train
e285 r1 a18	0	train
e285 r1 a14	0	train
e869 r1 c46	1	train
e869 r0 a30	1	train
e869 r0 a33	1	train
e869 r0 a1	1	train
e869 r0 a37	1	train
e869 r0 a35	1	train
e869 r1 a16	0	train
e869 r1 a0	0	train
e869 r1 a18	0	train
e869 r1 a20	0	train
e869 r1 a25	0	train
e869 r1 a21	0	train
e4371 r1 c46	1	train
e4371 r0 a30	1	train
e4371 r0 a33	1	train
e4371 r0 a1	1	train
e4371 r0 a37	1	train
e4371 r0 a35	1	train
e4371 r1 a18	0	train
e4371 r1 a23	0	train
e4371 r1 a10	0	train
e4371 r1 a27	0	train
e4371 r1 a31	0	train
e4371 r1 a13	0	train
e955 r1 c46	1	train
e955 r0 a30	1	train
e955 r0 a33	1	train
e955 r0 a1	1	train
e955 r0 a37	1	train
e955 r0 a35	1	train
e955 r1 a32	0	train
e955 r1 a17	0	train
e955 r1 a36	0	train
e955 r1 a28	0	train
e955 r1 a27	0	train
e955 r1 a29	0	train
e3134 r1 c46	1	train
e3134 r0 a30	1	train
e3134 r0 a33	1	train
e3134 r0 a1	1	train
e3134 r0 a37	1	train
e3134 r0 a35	1	train
e3134 r1 a27	0	train
e3134 r1 a34	0	train
e3134 r1 a26	0	train
e3134 r1 a39	0	train
e3134 r1 a0	0	train
e3134 r1 a9	0	train
e807 r1 c46	1	train
e807 r0 a30	1	train
e807 r0 a33	1	train
e807 r0 a1	1	train
e807 r0 a37	1	train
e807 r0 a35	1	train
e807 r1 a21	0	train
e807 r1 a27	0	train
e807 r1 a11	0	train
e807 r1 a22	0	train
e807 r1 a9	0	train
e807 r1 a29	0	train
e3429 r1 c46	1	train
e3429 r0 a30	1	train
e3429 r0 a33	1	train
e3429 r0 a1	1	train
e3429 r0 a37	1	train
e3429 r0 a35	1	train
e3429 r1 a9	0	train
e3429 r1 a34	0	train
e3429 r1 a29	0	train
e3429 r1 a17	0	train
e3429 r1 a26	0	train
e3429 r1 a13	0	train
e3710 r1 c46	1	train
e3710 r0 a30	1	train
e3710 r0 a33	1	train
e3710 r0 a1	1	train
e3710 r0 a37	1	train
e3710 r0 a35	1	train
e3710 r1 a39	0	train
e3710 r1 a28	0	train
e3710 r1 a29	0	train
e3710 r1 a36	0	train
e3710 r1 a25	0	train
e3710 r1 a24	0	train
e4245 r1 c46	1	train
e4245 r0 a30	1	train
e4245 r0 a33	1	train
e4245 r0 a1	1	train
e4245 r0 a37	1	train
e4245 r0 a35	1	train
e4245 r1 a36	0	train
e4245 r1 a7	0	train
e4245 r1 a8	0	train
e4245 r1 a23	0	train
e4245 r1 a5	0	train
e4245 r1 a27	0	train
e2993 r1 c46	1	train
e2993 r0 a30	1	train
e2993 r0 a33	1	train
e2993 r0 a1	1	train
e2993 r0 a37	1	train
e2993 r0 a35	1	train
e2993 r1 a12	0	train
e2993 r1 a29	0	train
e2993 r1 a24	0	train
e2993 r1 a9	0	train
e2993 r1 a11	0	train
e2993 r1 a8	0	train
e430 r1 c46	1	train
e430 r0 a30	1	train
e430 r0 a33	1	train
e430 r0 a1	1	train
e430 r0 a37	1	train
e430 r0 a35	1	train
e430 r1 a22	0	train
e430 r1 a31	0	train
e430 r1 a29	0	train
e430 r1 a24	0	train
e430 r1 a16	0	train
e430 r1 a9	0	train
e3373 r1 c46	1	train
e3373 r0 a30	1	train
e3373 r0 a33	1	train
e3373 r0 a1	1	train
e3373 r0 a37	1	train
e3373 r0 a35	1	train
e3373 r1 a12	0	train
e3373 r1 a20	0	train
e3373 r1 a22	0	train
e3373 r1 a17	0	train
e3373 r1 a26	0	train
e3373 r1 a34	0	train
e4322 r1 c46	1	train
e4322 r0 a30	1	train
e4322 r0 a33	1	train
e4322 r0 a1	1	train
e4322 r0 a37	1	train
e4322 r0 a35	1	train
e4322 r1 a25	0	train
e4322 r1 a14	0	train
e4322 r1 a17	0	train
e4322 r1 a7	0	train
e4322 r1 a16	0	train
e4322 r1 a34	0	train
e1190 r1 c46	1	train
e1190 r0 a30	1	train
e1190 r0 a33	1	train
e1190 r0 a1	1	train
e1190 r0 a37	1	train
e1190 r0 a35	1	train
e1190 r1 a15	0	train
e1190 r1 a19	0	train
e1190 r1 a13	0	train
e1190 r1 a38	0	train
e1190 r1 a16	0	train
e1190 r1 a32	0	train
e2958 r1 c46	1	train
e2958 r0 a30	1	train
e2958 r0 a33	1	train
e2958 r0 a1	1	train
e2958 r0 a37	1	train
e2958 r0 a35	1	train
e2958 r1 a13	0	train
e2958 r1 a21	0	train
e2958 r1 a23	0	train
e2958 r1 a5	0	train
e2958 r1 a14	0	train
e2958 r1 a4	0	train
e2325 r1 c46	1	train
e2325 r0 a30	1	train
