fact	label	source
e4161 r1 c35	1	train
e4161 r0 a19	1	train
e4161 r0 a0	1	train
e4161 r0 a5	1	train
e4161 r0 a8	1	train
e4161 r0 a12	1	train
e4161 r1 a30	0	train
e4161 r1 a4	0	train
e4161 r1 a20	0	train
e4161 r1 a22	0	train
e4161 r1 a26	0	train
e4161 r1 a6	0	train
e1649 r1 c35	1	train
e1649 r0 a19	1	train
e1649 r0 a0	1	train
e1649 r0 a5	1	train
e1649 r0 a8	1	train
e1649 r0 a12	1	train
e1649 r1 a32	0	train
e1649 r1 a35	0	train
e1649 r1 a10	0	train
e1649 r1 a4	0	train
e1649 r1 a33	0	train
e1649 r1 a13	0	train
e162 r1 c35	1	train
e162 r0 a19	1	train
e162 r0 a0	1	train
e162 r0 a5	1	train
e162 r0 a8	1	train
e162 r0 a12	1	train
e162 r1 a26	0	train
e162 r1 a16	0	train
e162 r1 a30	0	train
e162 r1 a14	0	train
e162 r1 a6	0	train
e162 r1 a28	0	train
e2402 r1 c35	1	train
e2402 r0 a19	1	train
e2402 r0 a0	1	train
e2402 r0 a5	1	train
e2402 r0 a8	1	train
e2402 r0 a12	1	train
e2402 r1 a24	0	train
e2402 r1 a33	0	train
e2402 r1 a32	0	train
e2402 r1 a23	0	train
e2402 r1 a29	0	train
e2402 r1 a2	0	train
e412 r1 c35	1	train
e412 r0 a19	1	train
e412 r0 a0	1	train
e412 r0 a5	1	train
e412 r0 a8	1	train
e412 r0 a12	1	train
e412 r1 a17	0	train
e412 r1 a14	0	train
e412 r1 a18	0	train
e412 r1 a16	0	train
e412 r1 a32	0	train
e412 r1 a21	0	train
e2470 r1 c35	1	train
e2470 r0 a19	1	train
e2470 r0 a0	1	train
e2470 r0 a5	1	train
e2470 r0 a8	1	train
e2470 r0 a12	1	train
e2470 r1 a24	0	train
e2470 r1 a21	0	train
e2470 r1 a13	0	train
e2470 r1 a3	0	train
e2470 r1 a11	0	train
e2470 r1 a27	0	train
e2128 r1 c35	1	train
e2128 r0 a19	1	train
e2128 r0 a0	1	train
e2128 r0 a5	1	train
e2128 r0 a8	1	train
e2128 r0 a12	1	train
e2128 r1 a22	0	train
e2128 r1 a7	0	train
e2128 r1 a1	0	train
e2128 r1 a14	0	train
e2128 r1 a28	0	train
e2128 r1 a20	0	train
e3076 r1 c35	1	train
e3076 r0 a19	1	train
e3076 r0 a0	1	train
e3076 r0 a5	1	train
e3076 r0 a8	1	train
e3076 r0 a12	1	train
e3076 r1 a22	0	train
e3076 r1 a14	0	train
e3076 r1 a21	0	train
e3076 r1 a31	0	train
e3076 r1 a6	0	train
e3076 r1 a1	0	train
e4010 r1 c35	1	train
e4010 r0 a19	1	train
e4010 r0 a0	1	train
e4010 r0 a5	1	train
e4010 r0 a8	1	train
e4010 r0 a12	1	train
e4010 r1 a16	0	train
e4010 r1 a25	0	train
e4010 r1 a28	0	train
e4010 r1 a11	0	train
e4010 r1 a30	0	train
e4010 r1 a13	0	train
e2644 r1 c35	1	train
e2644 r0 a19	1	train
e2644 r0 a0	1	train
e2644 r0 a5	1	train
e2644 r0 a8	1	train
e2644 r0 a12	1	train
e2644 r1 a34	0	train
e2644 r1 a31	0	train
e2644 r1 a11	0	train
e2644 r1 a25	0	train
e2644 r1 a27	0	train
e2644 r1 a26	0	train
e4547 r1 c35	1	train
e4547 r0 a19	1	train
e4547 r0 a0	1	train
e4547 r0 a5	1	train
e4547 r0 a8	1	train
e4547 r0 a12	1	train
e4547 r1 a17	0	train
e4547 r1 a10	0	train
e4547 r1 a2	0	train
e4547 r1 a6	0	train
e4547 r1 a18	0	train
e4547 r1 a22	0	train
e3438 r1 c35	1	train
e3438 r0 a19	1	train
e3438 r0 a0	1	train
e3438 r0 a5	1	train
e3438 r0 a8	1	train
e3438 r0 a12	1	train
e3438 r1 a21	0	train
e3438 r1 a6	0	train
e3438 r1 a1	0	train
e3438 r1 a24	0	train
e3438 r1 a30	0	train
e3438 r1 a34	0	train
e3865 r1 c35	1	train
e3865 r0 a19	1	train
e3865 r0 a0	1	train
e3865 r0 a5	1	train
e3865 r0 a8	1	train
e3865 r0 a12	1	train
e3865 r1 a31	0	train
e3865 r1 a14	0	train
e3865 r1 a25	0	train
e3865 r1 a32	0	train
e3865 r1 a21	0	train
e3865 r1 a23	0	train
e3400 r1 c35	1	train
e3400 r0 a19	1	train
e3400 r0 a0	1	train
e3400 r0 a5	1	train
e3400 r0 a8	1	train
e3400 r0 a12	1	train
e3400 r1 a20	0	train
e3400 r1 a35	0	train
